TABLE NO.  2
 NUM         EPRED       IPRED       NPDE        EWRES       DV          PRED        RES         WRES
  7.6000E+01  1.3937E+01  1.0358E+01 -8.3652E-02 -2.4261E-01  1.0436E+01  1.3446E+01 -3.0096E+00 -2.0140E-01
  8.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.2000E+01  8.5212E+01  7.7427E+01  1.2566E-01  4.9962E-02  8.3125E+01  8.5292E+01 -2.1673E+00  1.3945E-01
  8.3000E+01  1.2814E+02  1.2112E+02 -6.4335E-01 -7.7571E-01  1.0364E+02  1.3086E+02 -2.7220E+01 -8.3380E-01
  8.4000E+01  1.3626E+02  1.2973E+02  4.8642E-01  3.3817E-01  1.4186E+02  1.3903E+02  2.8280E+00  2.4082E-01
  8.5000E+01  1.3991E+02  1.3362E+02  2.2754E-01  6.7580E-02  1.3825E+02  1.4130E+02 -3.0481E+00 -4.8712E-03
  8.6000E+01  1.3173E+02  1.2517E+02  6.0276E-01  3.8769E-01  1.3940E+02  1.3057E+02  8.8284E+00  3.8177E-01
  8.7000E+01  1.2152E+02  1.1499E+02 -7.0630E-01 -7.7230E-01  9.9718E+01  1.1906E+02 -1.9340E+01 -7.4187E-01
  8.8000E+01  1.0622E+02  1.0025E+02  1.0043E-01 -6.7954E-02  1.0298E+02  1.0302E+02 -4.4695E-02  1.0542E-02
  8.9000E+01  9.4874E+01  8.9595E+01  2.7064E-01  3.3215E-01  1.0000E+02  9.1700E+01  8.3003E+00  4.3501E-01
  9.0000E+01  7.4707E+01  7.0864E+01  9.0273E-01  7.6488E-01  8.5519E+01  7.2143E+01  1.3376E+01  8.7768E-01
  9.1000E+01  5.2921E+01  5.0209E+01 -1.0508E+00 -1.0799E+00  4.0157E+01  5.1078E+01 -1.0921E+01 -1.0683E+00
  9.2000E+01  3.4828E+01  3.2045E+01  7.2791E-01  6.3136E-01  3.8225E+01  3.3108E+01  5.1173E+00  7.3644E-01
  9.3000E+01  3.0565E+01  2.7687E+01 -1.7637E-01 -1.5863E-01  2.8283E+01  2.8854E+01 -5.7091E-01 -8.2058E-02
  9.4000E+01  1.8063E+01  1.5337E+01 -7.7219E-01 -6.9535E-01  1.4083E+01  1.6477E+01 -2.3936E+00 -5.9943E-01
  9.7000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  9.8000E+01  1.2213E+02  1.4263E+02  1.3408E+00  1.7240E+00  1.7973E+02  1.1861E+02  6.1116E+01  1.8858E+00
  9.9000E+01  1.7393E+02  1.8995E+02  3.2304E-01  1.5704E-01  1.8866E+02  1.7540E+02  1.3261E+01  8.1164E-02
  1.0000E+02  1.8407E+02  1.9469E+02 -7.7219E-01 -7.9567E-01  1.6041E+02  1.8686E+02 -2.6452E+01 -8.7516E-01
  1.0100E+02  1.8724E+02  1.8912E+02 -2.1043E-01 -2.4652E-01  1.8114E+02  1.9023E+02 -9.0877E+00 -2.9777E-01
  1.0200E+02  1.7314E+02  1.6876E+02  7.0630E-01  5.1114E-01  1.9219E+02  1.7424E+02  1.7954E+01  5.3101E-01
  1.0300E+02  1.5646E+02  1.5180E+02 -9.0273E-01 -9.2164E-01  1.2646E+02  1.5633E+02 -2.9873E+01 -8.4619E-01
  1.0400E+02  1.3821E+02  1.3522E+02 -1.7637E-01 -2.4113E-01  1.3103E+02  1.3753E+02 -6.5003E+00 -1.5568E-01
  1.0500E+02  1.2231E+02  1.2138E+02  5.5338E-01  4.9491E-01  1.3476E+02  1.2164E+02  1.3123E+01  5.7368E-01
  1.0600E+02  9.5882E+01  9.8261E+01  5.9277E-01  5.7535E-01  1.0785E+02  9.5732E+01  1.2118E+01  6.0565E-01
  1.0700E+02  6.6696E+01  7.0652E+01  1.9893E+00  2.2328E+00  9.8623E+01  6.6951E+01  3.1672E+01  2.1891E+00
  1.0800E+02  4.4383E+01  4.6581E+01 -7.4987E-01 -8.0504E-01  3.7920E+01  4.4179E+01 -6.2594E+00 -8.2264E-01
  1.0900E+02  3.9271E+01  4.0984E+01 -1.1918E+00 -1.0537E+00  3.1531E+01  3.8937E+01 -7.4056E+00 -1.0522E+00
  1.1000E+02  2.2849E+01  2.4650E+01 -1.4252E-01 -3.0633E-01  2.2702E+01  2.2134E+01  5.6762E-01 -2.2092E-01
  1.1100E+02  1.3869E+01  1.5607E+01  1.3616E+00  1.0935E+00  1.8999E+01  1.2894E+01  6.1053E+00  1.4282E+00
  1.1300E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1400E+02  1.3655E+02  1.2185E+02  4.9585E-01  2.9254E-01  1.2952E+02  1.3652E+02 -7.0006E+00  2.4044E-01
  1.1500E+02  1.6978E+02  1.3202E+02  2.1043E-01  2.7106E-01  1.4804E+02  1.7338E+02 -2.5342E+01  1.2933E-01
  1.1600E+02  1.8411E+02  1.2822E+02 -1.8487E-01 -2.2152E-01  1.3254E+02  1.8903E+02 -5.6491E+01 -3.1233E-01
  1.1700E+02  1.8500E+02  1.2161E+02 -2.7131E+00 -2.0464E+00  5.8317E+01  1.8933E+02 -1.3101E+02 -2.0275E+00
